x,y,z
-1.178,0.419,2.251
-1.177,-0.476,2.253
-1.178,0.469,2.251
-1.177,0.792,2.248
-1.178,-0.413,2.254
-1.178,0.522,2.25
-1.177,0.825,2.248
-1.177,0.598,2.25
-1.177,-0.562,2.253
-1.177,0.017,2.251
-1.177,-0.524,2.253
-1.177,0.641,2.249
-1.177,-0.297,2.252
-1.176,0.529,2.248
-1.176,-0.121,2.251
-1.177,0.436,2.249
-1.177,-0.193,2.251
-1.176,-0.312,2.251
-1.176,-0.204,2.251
-1.176,0.495,2.247
-1.176,0.368,2.247
-1.175,-0.229,2.248
-1.175,-0.167,2.249
-1.171,0.874,2.237
-1.174,-0.424,2.247
-1.174,-0.338,2.246
-1.174,-0.27,2.248
-1.171,-0.586,2.243
-1.173,-0.358,2.245
-1.171,-0.603,2.194
-1.16,0.342,2.22
-1.153,0.889,2.156
-1.146,0.823,2.254
-1.136,-0.57,2.227
-1.147,0.744,2.256
-1.146,0.66,2.254
-1.146,0.514,2.255
-1.146,0.493,2.256
-1.146,0.595,2.254
-1.138,0.62,2.253
-1.144,0.774,2.252
-1.145,0.886,2.085
-1.143,0.402,2.251
-1.122,0.628,2.249
-1.121,0.678,2.246
-1.126,0.572,2.246
-1.122,0.468,2.243
-1.126,0.426,2.244
-1.118,0.829,2.242
-1.126,0.72,2.247
-1.119,0.526,2.242
-1.142,-0.238,2.251
-1.119,0.776,2.246
-1.142,-0.295,2.251
-1.14,-0.268,2.247
-1.141,-0.504,2.251
-1.14,-0.325,2.248
-1.14,-0.377,2.248
-1.139,-0.171,2.246
-1.121,0.375,2.238
-1.139,-0.003,2.244
-1.14,-0.53,2.248
-1.139,-0.471,2.247
-1.13,0.062,2.228
-1.117,0.337,2.232
-1.137,0.861,2.237
-1.136,-0.079,2.24
-1.138,-0.125,2.243
-1.138,-0.212,2.244
-1.138,-0.423,2.244
-1.112,0.861,2.131
-1.104,-0.57,2.182
-1.098,-0.574,2.112
-1.076,0.825,2.174
-1.092,0.838,2.205
-1.091,-0.475,2.207
-1.09,-0.521,2.205
-1.089,-0.326,2.204
-1.09,-0.291,2.204
-1.089,-0.433,2.203
-1.088,-0.356,2.201
-1.088,-0.216,2.2
-1.086,-0.228,2.197
-1.086,-0.381,2.198
-1.086,-0.126,2.197
-1.081,-0.077,2.187
-1.085,-0.406,2.197
-1.082,-0.175,2.19
-1.083,-0.265,2.191
-1.071,-0.548,2.17
-1.078,-0.003,2.182
-1.081,0.055,2.186
-1.064,0.765,2.202
-1.064,0.732,2.201
-1.062,0.791,2.198
-1.063,-0.542,1.45
-1.061,0.723,2.196
-1.056,0.574,2.187
-1.061,0.827,1.995
-1.06,0.676,2.194
-1.058,0.622,2.191
